epoch,loss,out_0_MSE,out_0_R_squared,out_0_loss,out_1_MSE,out_1_R_squared,out_1_loss,out_2_MSE,out_2_R_squared,out_2_loss
0,5.396987525902914,1.8455047767894546,0.650874341044418,1.9280128244620285,1.5385767467905116,0.709684787958154,1.7593608196841477,1.4507376838370685,0.7262724151243383,1.7096138817567383
1,4.488665603238472,1.351772618907901,0.7419195945508753,1.5567276727625123,1.185278009101863,0.7738221536805108,1.4802038915837328,1.1230183617746077,0.7861233311026932,1.4517340388922266
2,4.260077214169823,1.2292427422436314,0.7623675229537872,1.4893576112061724,1.065177217504193,0.7943943111117978,1.4027902312157698,1.0071780989155854,0.8057908748914977,1.3679293717478804
3,4.0042965520431055,1.1416582102882822,0.7828950361715077,1.4172845955747109,0.9754476711254746,0.8149673335630875,1.31471023297298,0.9195654124012688,0.8256014143174336,1.272301723495415
4,3.71414671319821,1.0752499859890847,0.7953131967527348,1.3423434131296195,0.8993752728590019,0.829585806953262,1.2112171278776014,0.8479365793043794,0.8394722784037357,1.1605861721909894
5,3.568549801826833,1.0285015809075544,0.8028433055537257,1.30468806050321,0.8591674159876689,0.8362615664923982,1.1556006394968275,0.8189980553013074,0.8443648553172612,1.1082611018267954
6,3.500909706456202,1.037000200823236,0.8072146681379198,1.2895180424865411,0.8630276056425887,0.8405617609629071,1.1308186142939487,0.8229209139537336,0.848247454608455,1.0805730496757122
7,3.398723154384856,1.003444668524502,0.8083093289201724,1.259697132142638,0.8366479485736581,0.8412055110405272,1.0931321862267285,0.7990716842563464,0.8487858928023111,1.0458938360154897
8,3.3252577511097674,0.9843566961719045,0.8131576637443103,1.2421304690653914,0.8113983400916315,0.8472007050613282,1.0671284726865853,0.7746401747818179,0.8546614661169195,1.0159988093577907
9,3.309918880521984,0.9711226225154627,0.8177750842062385,1.2323288385579692,0.8084632294028089,0.8498116288955863,1.0608331578593162,0.7739203310811004,0.8565792053228684,1.0167568841046988
10,3.2240103853021824,0.9380331794867759,0.8223861959406089,1.2055013413569298,0.776028201182299,0.8540790046227029,1.0317465818717504,0.7412141370480417,0.8609365331089774,0.9867624620735023
11,3.1154477710359543,0.9148365734217491,0.8256714233669644,1.174104070621916,0.762018073660255,0.8563857705839958,0.9938782553817574,0.728501098582637,0.863108261604714,0.9474654450322811
12,3.1074073484669045,0.9055546592531803,0.8246489359057336,1.1635462134379306,0.7562413949759821,0.8548812748809078,0.994686806822013,0.7223724119308262,0.861863331002666,0.9491743282069609
13,3.1269326934979413,0.9108045517363857,0.8253865539897683,1.174157721418359,0.7522016694901178,0.8570925699091069,0.9991609404311362,0.71691364595948,0.8642099677410541,0.9536140316484459
14,3.0488643401250015,0.8936703191035343,0.8301737064399628,1.148800707118555,0.7409439768644631,0.8605081412559624,0.9737116052417271,0.7051569809045523,0.8676375103537752,0.9263520277647191
15,3.0510240972205263,0.900895499487602,0.8276237638611859,1.1412216854843114,0.748178273614293,0.8586739617353033,0.97758248532928,0.7137484943241668,0.865489379425138,0.9322199264069349
16,3.0946345350349524,0.9157836416933867,0.8267328532177257,1.1563982136098825,0.7627673074091689,0.8569420780242475,0.990587184475452,0.7312087679261132,0.8633574488159313,0.9476491369496179
17,3.047759510409838,0.9086489855867168,0.8277038318546807,1.1459944002541693,0.758223068703769,0.8576156787900536,0.973988857715506,0.7243161848589088,0.8642047034924994,0.9277762524401625
