epoch,loss,out_0_loss,out_1_loss,out_2_loss
0,4.667639652487096,1.7002403025376045,1.514652452336287,1.4527468976132043
1,3.5061014710419527,1.2652355911518176,1.1441265517684418,1.096739328121693
2,3.1348006136158086,1.1338467833652037,1.0226486133132864,0.9783052169373185
3,2.9059162333490343,1.0620623307933255,0.9476261898787237,0.8962277126769851
4,2.731479392973633,1.0099255398473168,0.8865749337453777,0.8349789193809385
5,2.599420415391544,0.967766826459038,0.8413408775557214,0.7903127113767848
6,2.515482656393699,0.9463738997386196,0.8118576591277099,0.7572510975273693
7,2.4222952368317214,0.916323428988222,0.7796626554794727,0.7263091523640268
8,2.3354312342437584,0.8890106259867196,0.748105908472707,0.6983146997843319
9,2.3172576645779697,0.8852484380371692,0.7407850891802694,0.6912241373605308
10,2.2559390371669026,0.8656308391593456,0.7198426592636736,0.6704655387438834
11,2.1861707169551576,0.8453066235914181,0.6967453646444254,0.6441187287193144
12,2.1882466930643045,0.8429566818311458,0.6977699939656533,0.6475200172675055
13,2.126853093752403,0.8239917810584646,0.6765139647044506,0.6263473479894878
14,2.10274183281833,0.8196028907871329,0.6684362130738267,0.6147027289573704
15,2.0939485566556733,0.8130015072808784,0.6670939204224393,0.6138531289523556
16,2.051052022978341,0.8039125268692224,0.6499517040939518,0.5971877920151666
17,2.0053236460602863,0.7863857379351837,0.6354818636071171,0.5834560445179855
18,2.015044829863175,0.7876711741537149,0.6407125285161132,0.586661127193347
19,1.9764240392901766,0.7764346882642255,0.6269459064360562,0.5730434445898951
20,1.9483050518746188,0.7685047020901024,0.6161121918433016,0.5636881579412147
21,1.9351528637142352,0.7653013930516684,0.6105161730033221,0.5593352976592448
22,1.9016310806536505,0.7533084728615725,0.6005939644097724,0.5477286433823054
23,1.8748492618214236,0.7460059012528363,0.5921803219088052,0.5366630386597822
24,1.8746149959271832,0.7462499253231827,0.5904966483999953,0.5378684222040052
25,1.8687490959409772,0.7439073784768171,0.5901618900298192,0.5346798274343408
