epoch,loss,out_0_loss,out_1_loss,out_2_loss
0,4.5648694305130135,1.6746871807897348,1.4734520856487519,1.4167301640745265
1,3.5451603596501466,1.2886774460913726,1.155134418063401,1.1013484954953732
2,3.172984252947171,1.1685041211047764,1.0274214573178322,0.9770586745245621
3,2.9265144727656374,1.0882094777869795,0.9471532898683275,0.8911517051103306
4,2.716140538723489,1.0199655555768685,0.8780914859398115,0.8180834972068091
5,2.6206236720788665,0.9918299594576906,0.8444885868768127,0.7843051257443632
6,2.4888774677175545,0.9510323127749456,0.7974538873003573,0.7403912676422516
7,2.408428584661902,0.9243225735794175,0.7712139470501799,0.7128920640323043
8,2.337229094926,0.8997570469204593,0.7488791591734337,0.6885928888321072
9,2.2489560822793013,0.8727849444018004,0.7155068211317331,0.6606643167457678
10,2.220997410922277,0.8617547804883591,0.7056214528926379,0.6536211775412801
11,2.1732734118184585,0.8496610087434711,0.6884111677755338,0.6352012352994538
12,2.157426171143231,0.8413164589099402,0.6841926135380983,0.6319170986951924
13,2.0687040264626084,0.815491443951785,0.6523677511847031,0.6008448313261204
14,2.0668771047629733,0.8140518997614854,0.6503651748663484,0.6024600301351396
15,2.043481905133071,0.8055406692323225,0.6447380327309483,0.5932032031698001
16,2.0114716895332534,0.7956715677174895,0.6319214086408953,0.5838787131748686
17,1.983923465865774,0.7873704594801803,0.6226855454950522,0.5738674608905416
18,1.9561610297893517,0.7819345274248775,0.6108641932063116,0.5633623091581627
19,1.9181012629682412,0.7670059883372979,0.5991604778053082,0.5519347968256351
20,1.9007698124015469,0.7603468423225603,0.5945462747914356,0.545876695287551
21,1.8915095393789632,0.7561434282776714,0.5913646972908005,0.5440014138104912
22,1.8958217536825697,0.7575808151403843,0.5918418362321326,0.5463991023100527
23,1.8664551703086276,0.7480704299712648,0.5822084889298614,0.5361762514075012
